repo_name,language,stars,type,content,url,category
valkey-io/valkey,C,18342,pull_request,[feature] sentinel use info sentinel command to run faster,https://github.com/valkey-io/valkey/pull/1511,time
valkey-io/valkey,C,18342,pull_request,improve readability and efficiency for zunion operation,https://github.com/valkey-io/valkey/pull/1506,time
valkey-io/valkey,C,18342,pull_request,accelerate hash table iterator with prefetching,https://github.com/valkey-io/valkey/pull/1501,time
asg017/sqlite-vec,C,4589,pull_request,fix compilation error for redefinition of jsonisspace,https://github.com/asg017/sqlite-vec/pull/75,space
BasedHardware/omi,C,3836,pull_request,remove trailing/leading spaces from webhook url,https://github.com/BasedHardware/omi/pull/1594,space
EurekaLabsAI/ngram,C,1359,pull_request,more efficient tape (circular buffer),https://github.com/EurekaLabsAI/ngram/pull/10,time
EurekaLabsAI/ngram,C,1359,pull_request,feat: added dev container file for fast onboarding,https://github.com/EurekaLabsAI/ngram/pull/9,time
78/xiaozhi-esp32,C,1229,pull_request,fit the memory usage for esp32c3,https://github.com/78/xiaozhi-esp32/pull/21,space
mozillazg/ptcpdump,C,751,pull_request,optimize(bpf): avoid storing short cgroup names in kernel space,https://github.com/mozillazg/ptcpdump/pull/198,space
Spooks4576/Ghost_ESP,C,635,pull_request,trim trailing spaces from ssids,https://github.com/Spooks4576/Ghost_ESP/pull/103,space
Spooks4576/Ghost_ESP,C,635,pull_request,gps and storage logging improvements,https://github.com/Spooks4576/Ghost_ESP/pull/99,space
